Food product,Land use change(Kg CO2 - equivalents per kg product),Animal Feed(Kg CO2 - equivalents per kg product),Farm(Kg CO2 - equivalents per kg product),Processing(Kg CO2 - equivalents per kg product),Transport(Kg CO2 - equivalents per kg product),Packging(Kg CO2 - equivalents per kg product),Retail(Kg CO2 - equivalents per kg product),Total_emissions(Kg CO2 - equivalents per kg product),Eutrophying emissions per kilogram (gPO4eq per kilogram),Scarcity-weighted water use per kilogram (liters per kilogram),Year,Agriculture,Transport,Industrial processes and product use,Fugitive Emissions from Fuels
Oatmeal,0,0,1.4,0,0.1,0.1,0,1.6,11.23,18786.2,2000,"82534720	",74127580,26683680,40396760
Rice,0,0,3.6,0.1,0.1,0.1,0.1,4,35.07,49576.3,2001,"81546540	",74092410,27870150,40018650
Potatoes,0,0,0.2,0,0.1,0,0,0.3,3.48,2754.2,2002,81434990,75623850,28563500,38693530
Cassava,0.6,0,0.2,0,0.1,0,0,0.9,0.69,0,2003,75926220,78104580,31167480,37258060
Cane Sugar,1.2,0,0.5,0,0.8,0.1,0,2.6,16.92,16438.6,2004,"79425600	",81175760,32622560,37704900
Beet Sugar,0,0,0.5,0.2,0.6,0.1,0,1.4,5.41,9493.3,2005,"80056080	",82209530,31875600,38930470
Other Pulses,0,0,1.1,0,0.1,0.4,0,1.6,17.08,22477.4,2006,78547340,83501810,31951480,40110170
Peas,0,0,0.7,0,0.1,0,0,0.8,7.52,27948.2,2007,"74650890	",85455050,34210650,42203180
Nuts,-2.1,0,2.1,0,0.1,0.1,0,0.2,19.15,229889.8,2008,72145690,86516890,34424160,42489180
Groundnuts,0.4,0,1.4,0.4,0.1,0.1,0,2.4,14.14,61797.9,2009,"72468520	",87357430,32781920,42427960
Soymilk,0.2,0,0.1,0.2,0.1,0.1,0.3,1,1.06,955.6,2010,70140860,88811050,35707170,42676920
Soybean Oil,3.1,0,1.5,0.3,0.3,0.8,0,6,11.69,14888.2,2011,74728120,91426050,36242140,"41847450	"
Palm Oil,3.1,0,2.1,1.3,0.2,0.9,0,7.6,10.67,36.2,2012,76173560,91959940,33402120,42260740
Sunflower Oil,0.1,0,2.1,0.2,0.2,0.9,0,3.5,50.66,36369.4,2013,76369140,92168370,31495760,42384050
Rapeseed Oil,0.2,0,2.3,0.2,0.2,0.8,0,3.7,19.19,10593.7,2014,76841540,93257200,31709120,41192650
Olive Oil,-0.4,0,4.3,0.7,0.5,0.9,0,6,37.26,177480.2,2015,"74037090	",95386200,33067530,45792700
Tomatoes,0.4,0,0.7,0,0.2,0.1,0,1.4,7.51,5335.7,2016,73122710,96545470,32992490,48448810
Onions & Leeks,0,0,0.2,0,0.1,0,0,0.3,3.24,932,2017,77018060,98847950,33133280,"51081020	"
Root Vegetables,0,0,0.2,0,0.1,0,0,0.3,1.61,929.2,2018,75587640,100795820,34197450,54449830
Brassicas,0,0,0.3,0,0.1,0,0,0.4,5.01,8455.1,,,,,
Other Vegetables,0,0,0.2,0.1,0.2,0,0,0.5,2.27,4911.4,,,,,
Citrus Fruit,-0.1,0,0.3,0,0.1,0,0,0.3,2.24,4662.7,,,,,
Bananas,0,0,0.3,0.1,0.3,0.1,0,0.8,3.29,661.9,,,,,
Apples,0,0,0.2,0,0.1,0,0,0.3,1.45,12948.6,,,,,
Berries & Grapes,0,0,0.7,0,0.2,0.2,0,1.1,6.12,21162.1,,,,,
Wine,-0.1,0,0.6,0.1,0.1,0.7,0,1.4,4.57,1149.3,,,,,
Other Fruit,0.1,0,0.4,0,0.2,0,0,0.7,2.43,9533.1,,,,,
Coffee,3.7,0,10.4,0.6,0.1,1.6,0.1,16.5,110.52,337,,,,,
Dark Chocolate,14.3,0,3.7,0.2,0.1,0.4,0,18.7,87.08,2879.2,,,,,
Beef (beef herd),16.3,1.9,39.4,1.3,0.3,0.2,0.2,59.6,301.41,34732.5,,,,,
Beef (dairy herd),0.9,2.5,15.7,1.1,0.4,0.3,0.2,21.1,365.29,119805.2,,,,,
Lamb & Mutton,0.5,2.4,19.5,1.1,0.5,0.3,0.2,24.5,97.13,141925,,,,,
Pig Meat,1.5,2.9,1.7,0.3,0.3,0.3,0.2,7.2,76.38,66867.4,,,,,
Poultry Meat,2.5,1.8,0.7,0.4,0.3,0.2,0.2,6.1,48.7,14177.9,,,,,
Milk,0.5,0.2,1.5,0.1,0.1,0.1,0.3,2.8,10.65,19786.3,,,,,
Cheese,4.5,2.3,13.1,0.7,0.1,0.2,0.3,21.2,98.37,180850.6,,,,,
Eggs,0.7,2.2,1.3,0,0.1,0.2,0,4.5,21.76,17982.7,,,,,
Fish (farmed),0.5,0.8,3.6,0,0.1,0.1,0,5.1,235.12,41572.2,,,,,
